[rosmaster.main][INFO] 2024-11-17 14:45:13,223: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-11-17 14:45:13,223: Starting ROS Master Node
[xmlrpc][INFO] 2024-11-17 14:45:13,223: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-11-17 14:45:13,224: Started XML-RPC server [http://uav1-Default-string:11311/]
[rosmaster.master][INFO] 2024-11-17 14:45:13,224: Master initialized: port[11311], uri[http://uav1-Default-string:11311/]
[xmlrpc][INFO] 2024-11-17 14:45:13,224: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-11-17 14:45:13,274: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:13,275: +PARAM [/roslaunch/uris/host_uav1_default_string__43529] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:13,312: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:13,312: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:13,316: +SERVICE [/rosout/get_loggers] /rosout http://uav1-Default-string:44401/
[rosmaster.master][INFO] 2024-11-17 14:45:13,317: +SERVICE [/rosout/set_logger_level] /rosout http://uav1-Default-string:44401/
[rosmaster.master][INFO] 2024-11-17 14:45:13,318: +PUB [/rosout_agg] /rosout http://uav1-Default-string:44401/
[rosmaster.master][INFO] 2024-11-17 14:45:13,319: +SUB [/rosout] /rosout http://uav1-Default-string:44401/
[rosmaster.master][INFO] 2024-11-17 14:45:13,324: +PUB [/rosout] /vins_to_mavros http://uav1-Default-string:42659/
[rosmaster.master][INFO] 2024-11-17 14:45:13,325: +SERVICE [/vins_to_mavros/get_loggers] /vins_to_mavros http://uav1-Default-string:42659/
[rosmaster.master][INFO] 2024-11-17 14:45:13,325: +SERVICE [/vins_to_mavros/set_logger_level] /vins_to_mavros http://uav1-Default-string:42659/
[rosmaster.master][INFO] 2024-11-17 14:45:13,327: +SUB [/viobot/pr_loop/odometry_rect] /vins_to_mavros http://uav1-Default-string:42659/
[rosmaster.master][INFO] 2024-11-17 14:45:13,328: +SUB [/mavros/distance_sensor/hrlv_ez4_pub] /vins_to_mavros http://uav1-Default-string:42659/
[rosmaster.master][INFO] 2024-11-17 14:45:13,328: +PUB [/mavros/vision_pose/pose] /vins_to_mavros http://uav1-Default-string:42659/
[rosmaster.master][INFO] 2024-11-17 14:45:13,329: +PUB [/viobot/camera_pose] /vins_to_mavros http://uav1-Default-string:42659/
[rosmaster.master][INFO] 2024-11-17 14:45:13,329: +PUB [/viobot/stereo2_ctrl] /vins_to_mavros http://uav1-Default-string:42659/
[rosmaster.master][INFO] 2024-11-17 14:45:13,423: publisherUpdate[/rosout] -> http://uav1-Default-string:44401/ ['http://uav1-Default-string:42659/']
[rosmaster.master][INFO] 2024-11-17 14:45:13,425: publisherUpdate[/rosout] -> http://uav1-Default-string:44401/ ['http://uav1-Default-string:42659/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-11-17 14:45:14,332: +CACHEDPARAM [/rosout_disable_topics_generation] by /vins_to_mavros
[rosmaster.master][INFO] 2024-11-17 14:45:14,336: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2024-11-17 14:45:18,262: +PARAM [/roslaunch/uris/host_uav1_default_string__46863] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,267: +PARAM [/camera/realsense2_camera/ordered_pc] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/pointcloud_texture_index] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/confidence_height] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/color_width] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/fisheye_fps] by /roslaunch
